T 64/64 E:1.64698e+12, T:179878144, Cost:2.96255e+20 Ubuf/Buf/Bus/Mac:1.33258e+11/4.23542e+11/0/3.23155e+10 NoC(hops=89524557568, DRAM acc=9275428864) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Buffer(max=0, avg=0) Max NoC: 907809472
		encoder2_Kt5 1 (W:1,H:1,B:1,K:1) util:100/100 E:4.45033e+06, T:512, Cost:2.27857e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=425984, DRAM acc=32768) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 32768/0/32768 Max NoC: 26240
	S 1/1 E:4.97509e+08, T:67068, Cost:3.3367e+13 Ubuf/Buf/Bus/Mac:4.40126e+07/1.30517e+08/0/1.00344e+07 NoC(hops=36134592, DRAM acc=1843200) Buffer(max=534528, avg=158720) Buffer(max=262144, avg=262144) Buffer(max=0, avg=0) Max NoC: 1609632
		encoder2_Kt7 1 (W:1,H:1,B:1,K:1) util:100/100 E:3.34932e+06, T:512, Cost:1.71485e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=229376, DRAM acc=32768) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 32768/0/32768 Max NoC: 28672
		encoder2_Kt6 1 (W:1,H:1,B:1,K:1) util:100/100 E:3.34932e+06, T:512, Cost:1.71485e+09 Ubuf/Buf/Bus/Mac:95875.9/0/0/2860.65 NoC(hops=229376, DRAM acc=32768) Buffer(max=43008, avg=43008) Buffer(max=0, avg=0) Buffer(max=32768, avg=32768) 32768/0/32768 Max NoC: 28672
		encoder2_K 1 (W:1,H:1,B:1,K:1) util:100/100 E:2.02934e+07, T:4096, Cost:8.31218e+10 Ubuf/Buf/Bus/Mac:767007/0/0/22885.2 NoC(hops=1376256, DRAM acc=196608) Buffer(max=272384, avg=272384) Buffer(max=0, avg=0) Buffer(max=262144, avg=262144) 262144/0/262144 Max NoC: 172032
		encoder2_QK 1 (H:7,K:2,W:1,B:1) util:100/100 E:8.8524e+07, T:9472, Cost:8.38499e+11 Ubuf/Buf/Bus/Mac:1.23214e+07/3.68989e+07/0/2.44423e+06 NoC(hops=3773376, DRAM acc=262144) Buffer(max=160256, avg=160037) Buffer(max=0, avg=0) Buffer(max=150016, avg=149797) 262144/262144/2097152 Max NoC: 270336
		encoder2_QK_elt 1 (H:2,K:2,W:1,B:1) util:100/100 E:4.45676e+07, T:8192, Cost:3.65098e+11 Ubuf/Buf/Bus/Mac:6.13606e+06/0/0/183081 NoC(hops=6830080, DRAM acc=0) Buffer(max=534528, avg=534528) Buffer(max=0, avg=0) Buffer(max=524288, avg=524288) 2097152/0/2097152 Max NoC: 524288
		encoder2_V 1 (H:14,W:1,B:1,K:1) util:100/100 E:9.00821e+07, T:9472, Cost:8.53257e+11 Ubuf/Buf/Bus/Mac:5.51746e+06/3.05419e+07/0/2.44423e+06 NoC(hops=3549184, DRAM acc=528384) Buffer(max=29184, avg=28964.6) Buffer(max=262144, avg=262144) Buffer(max=18944, avg=18724.6) 262144/262144/262144 Max NoC: 81920
		encoder2_QKV 1 (H:7,K:2,W:1,B:1) util:100/100 E:1.43051e+08, T:9472, Cost:1.35498e+12 Ubuf/Buf/Bus/Mac:1.23038e+07/3.25339e+07/0/2.44423e+06 NoC(hops=14292992, DRAM acc=262144) Buffer(max=292864, avg=291109) Buffer(max=0, avg=0) Buffer(max=282624, avg=280869) 2097152/262144/262144 Max NoC: 1589248
		encoder2_FC 1 (H:14,W:1,B:1,K:1) util:100/100 E:4.65668e+07, T:9472, Cost:4.4108e+11 Ubuf/Buf/Bus/Mac:5.51746e+06/3.05419e+07/0/2.44423e+06 NoC(hops=1395968, DRAM acc=4096) Buffer(max=29184, avg=28964.6) Buffer(max=262144, avg=262144) Buffer(max=18944, avg=18724.6) 262144/262144/262144 Max NoC: 67840
		encoder2_elt1 1 (W:1,H:1,B:1,K:1) util:100/100 E:5.77256e+07, T:8192, Cost:4.72888e+11 Ubuf/Buf/Bus/Mac:1.25779e+06/0/0/45770.3 NoC(hops=4457984, DRAM acc=524288) Buffer(max=534528, avg=534528) Buffer(max=0, avg=0) Buffer(max=524288, avg=524288) 524288/0/262144 Max NoC: 435712
	encoder2_feedfwd1 1 (H:8,K:8,W:1,B:1) util:100/100 E:2.89616e+08, T:20736, Cost:6.00547e+12 Ubuf/Buf/Bus/Mac:1.82886e+07/1.18752e+08/0/9.66368e+06 NoC(hops=11300864, DRAM acc=1327104) Buffer(max=43008, avg=43008) Buffer(max=131072, avg=131072) Buffer(max=32768, avg=32768) 262144/1048576/1048576 Max NoC: 166400
	encoder2_feedfwd2 1 (H:32,K:2,W:1,B:1) util:100/100 E:3.28536e+08, T:20736, Cost:6.81251e+12 Ubuf/Buf/Bus/Mac:4.32409e+07/1.29532e+08/0/9.66368e+06 NoC(hops=11870208, DRAM acc=1327104) Buffer(max=43008, avg=43008) Buffer(max=524288, avg=524288) Buffer(max=32768, avg=32768) 1048576/1048576/262144 Max NoC: 102400
	S 1/1 E:2.09309e+08, T:24576, Cost:5.14399e+12 Ubuf/Buf/Bus/Mac:1.82404e+07/4.67023e+07/0/3.3937e+06 NoC(hops=12825424, DRAM acc=1152512) Buffer(max=185344, avg=34816) Buffer(max=262144, avg=194459) Buffer(max=0, avg=0) Max NoC: 563040
